"","jid","SC_AGE_YEARS","var_cahmi","stem"
"1",1.22,3,"RecogBegin_22","How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?"
"2",1.22,4,"RecogBegin_22","How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?"
"3",1.22,5,"RecogBegin_22","How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?"
"4",2.22,3,"SameSound_22","How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?"
"5",2.22,4,"SameSound_22","How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?"
"6",2.22,5,"SameSound_22","How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?"
"7",3.22,3,"RhymeWordR_22","How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?"
"8",3.22,4,"RhymeWordR_22","How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?"
"9",3.22,5,"RhymeWordR_22","How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?"
"10",4.22,3,"RecogLetter_22","About how many letters of the alphabet can this child recognize?"
"11",4.22,4,"RecogLetter_22","About how many letters of the alphabet can this child recognize?"
"12",4.22,5,"RecogLetter_22","About how many letters of the alphabet can this child recognize?"
"13",5.22,3,"WriteName_22","How often can this child write their first name, even if some of the letters aren't quite right or are backwards?"
"14",5.22,4,"WriteName_22","How often can this child write their first name, even if some of the letters aren't quite right or are backwards?"
"15",5.22,5,"WriteName_22","How often can this child write their first name, even if some of the letters aren't quite right or are backwards?"
"16",6.22,3,"ReadOneDigit_22","How often can this child read one-digit numbers (e.g., 2 or 8)?"
"17",6.22,4,"ReadOneDigit_22","How often can this child read one-digit numbers (e.g., 2 or 8)?"
"18",6.22,5,"ReadOneDigit_22","How often can this child read one-digit numbers (e.g., 2 or 8)?"
"19",7.22,3,"CountToR_22","If asked to count objects, how can can this child count correctly?"
"20",7.22,4,"CountToR_22","If asked to count objects, how can can this child count correctly?"
"21",7.22,5,"CountToR_22","If asked to count objects, how can can this child count correctly?"
"22",8.22,3,"GroupOfObjects_22","How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?"
"23",8.22,4,"GroupOfObjects_22","How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?"
"24",8.22,5,"GroupOfObjects_22","How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?"
"25",9.22,3,"SimpleAddition_22","How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?"
"26",9.22,4,"SimpleAddition_22","How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?"
"27",9.22,5,"SimpleAddition_22","How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?"
"28",10.22,3,"ClearExp_22","How often can this child explain things they have seen or done so that you know what happened?"
"29",10.22,4,"ClearExp_22","How often can this child explain things they have seen or done so that you know what happened?"
"30",10.22,5,"ClearExp_22","How often can this child explain things they have seen or done so that you know what happened?"
"31",11.22,3,"NameEmotions_22","How often can this child recognize and name their own emotions?"
"32",11.22,4,"NameEmotions_22","How often can this child recognize and name their own emotions?"
"33",11.22,5,"NameEmotions_22","How often can this child recognize and name their own emotions?"
"34",12.22,3,"ShareToys_22","How often does this child share toys or games with other children?"
"35",12.22,4,"ShareToys_22","How often does this child share toys or games with other children?"
"36",12.22,5,"ShareToys_22","How often does this child share toys or games with other children?"
"37",13.22,3,"PlayWell_22","How often does this child play well with other children?"
"38",13.22,4,"PlayWell_22","How often does this child play well with other children?"
"39",13.22,5,"PlayWell_22","How often does this child play well with other children?"
"40",14.22,3,"HurtSad_22","How often does this child show concern when they see others who are hurt or unhappy?"
"41",14.22,4,"HurtSad_22","How often does this child show concern when they see others who are hurt or unhappy?"
"42",14.22,5,"HurtSad_22","How often does this child show concern when they see others who are hurt or unhappy?"
"43",15.22,3,"FocusOn_22","How often can this child focus on a task you give them for at least a few minutes?"
"44",15.22,4,"FocusOn_22","How often can this child focus on a task you give them for at least a few minutes?"
"45",15.22,5,"FocusOn_22","How often can this child focus on a task you give them for at least a few minutes?"
"46",16.22,3,"StartNewAct_22","How often does this child have difficulty when asked to end one activity and start a new activity?"
"47",16.22,4,"StartNewAct_22","How often does this child have difficulty when asked to end one activity and start a new activity?"
"48",16.22,5,"StartNewAct_22","How often does this child have difficulty when asked to end one activity and start a new activity?"
"49",17.22,3,"CalmDownR_22","How often does this child have trouble calming down?"
"50",17.22,4,"CalmDownR_22","How often does this child have trouble calming down?"
"51",17.22,5,"CalmDownR_22","How often does this child have trouble calming down?"
"52",18.22,3,"WaitForTurn_22","How often does this child have difficulty waiting for their turn?"
"53",18.22,4,"WaitForTurn_22","How often does this child have difficulty waiting for their turn?"
"54",18.22,5,"WaitForTurn_22","How often does this child have difficulty waiting for their turn?"
"55",19.22,3,"distracted_22","How often does this child get easily distracted?"
"56",19.22,4,"distracted_22","How often does this child get easily distracted?"
"57",19.22,5,"distracted_22","How often does this child get easily distracted?"
"58",20.22,3,"temperR_22","How often does this child lose their temper?"
"59",20.22,4,"temperR_22","How often does this child lose their temper?"
"60",20.22,5,"temperR_22","How often does this child lose their temper?"
"61",21.22,3,"DrawCircle_22","How well can this child draw a circle?"
"62",21.22,4,"DrawCircle_22","How well can this child draw a circle?"
